CustomerName,StreetNumber,StreetName,Zip,DOB,Savings,Checkings,CreditCard,Pin
Tatiania Ditchburn,4,Columbus,,394701901000,$98460.64,$51629.46,5048372099678829,9877
Pru Perfili,2333,Pankratz,,1394298034000,$5013.22,$18539.29,5108755051962057,6176
Winna Wadge,0629,Novick,7300,1078067409000,$24254.73,$38948.51,5048372553155876,4428
Ilysa Sich,001,Fuller,606083,6695070000,$66758.74,$53966.06,5108754266561879,3022
Alison Bisley,13880,Arrowood,,-131639912000,$53048.90,$63291.37,5108759462702110,7855
Timmie Gregon,887,Logan,,-153425023000,$87259.85,$24201.62,5048375961080115,8645
Chucho Hazlehurst,70025,Moulton,14040 CEDEX 4,416195909000,$36068.42,$22102.43,5048372609646803,3362
Hanna Hebditch,30805,South,,263416229000,$89968.17,$17863.21,5108754297475644,5455
Miof mela Antliff,194,Dottie,8611,416179872000,$15183.74,$34735.37,5048375270799728,6854
Nissie MacMeanma,89,Sundown,,-210410676000,$9134.44,$80642.37,5108754734691688,7668
Laurette Booty,7,Golden Leaf,,1298634036000,$78901.63,$54699.55,5108757841166130,4228
Lucretia De Paepe,30,Russell,,214693452000,$15662.02,$76601.90,5048376778304839,3163
Berrie Georgiades,22,Transport,3078,-602905252000,$95180.31,$3311.49,5048379883657117,2302
Roby Gypson,8,Hanson,,-623615371000,$64290.62,$75647.18,5048376250534218,4511
Antonia Reinard,56857,Claremont,141 21,-514251998000,$23572.97,$18320.21,5108751243375365,3854
Klara Dust,6,Nobel,,373027561000,$21918.11,$39731.82,5048376134374039,7596
Miles Menauteau,77652,Weeping Birch,,-104895865000,$96567.08,$19253.82,5108753851305668,5622
Cedric Djekovic,80,Ridgeway,,-141124173000,$46455.38,$1797.59,5048377175743108,5850
Corrina Lackeye,9507,Memorial,,151815676000,$31794.38,$57514.39,5048375635732471,4146
Sid Curado,906,Grayhawk,,1183989476000,$61498.85,$87182.54,5048375492576375,3006
Belia Rolfe,8665,Anhalt,,-8640041000,$77596.00,$81767.25,5108754016108369,3880
Jemima Roches,86,Esker,,326613286000,$77287.97,$29710.77,5048371105563165,3847
Lorilyn Kemmons,641,Anhalt,187750,1219577521000,$9901.70,$66258.67,5048373419490929,3312
Martin Rodgman,57210,Ryan,7644,232521487000,$2242.94,$26200.11,5048374813724392,2280
Myrle Morison,1199,Northwestern,,1523083709000,$26860.01,$62003.01,5108750074691056,5746
Myrtie Glashby,5064,Kinsman,,1376255361000,$6039.88,$39195.69,5108750937302206,7070
Corri Ducrow,3,Prairieview,,723173691000,$15387.47,$65409.21,5048374594876924,7582
Prisca Dulake,192,Lunder,435 43,1489685902000,$44648.44,$34431.41,5108757545531266,3936
