,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,CustomerName,StreetNumber,StreetName,Zip,DOB,Savings,Checkings,CreditCard,Pin
0,0,0,0,0,0,0,0,0,Tatiania Ditchburn,4,Columbus,,394701901000,98460.64,51589.46,5048372099678829,8888
1,1,1,1,1,1,1,1,1,Pru Perfili,2333,Pankratz,,1394298034000,5013.22,18539.29,5108755051962057,6176
2,2,2,2,2,2,2,2,2,Winna Wadge,629,Novick,7300,1078067409000,24254.73,38948.51,5048372553155876,4428
3,3,3,3,3,3,3,3,3,Ilysa Sich,1,Fuller,606083,6695070000,66758.74,53966.06,5108754266561879,3022
4,4,4,4,4,4,4,4,4,Alison Bisley,13880,Arrowood,,-131639912000,53048.9,63291.37,5108759462702110,7855
5,5,5,5,5,5,5,5,5,Timmie Gregon,887,Logan,,-153425023000,87259.85,24201.62,5048375961080115,8645
6,6,6,6,6,6,6,6,6,Chucho Hazlehurst,70025,Moulton,14040 CEDEX 4,416195909000,36068.42,22102.43,5048372609646803,3362
7,7,7,7,7,7,7,7,7,Hanna Hebditch,30805,South,,263416229000,89968.17,17863.21,5108754297475644,5455
8,8,8,8,8,8,8,8,8,Miof mela Antliff,194,Dottie,8611,416179872000,15183.74,34735.37,5048375270799728,6854
9,9,9,9,9,9,9,9,9,Nissie MacMeanma,89,Sundown,,-210410676000,9134.44,80642.37,5108754734691688,7668
10,10,10,10,10,10,10,10,10,Laurette Booty,7,Golden Leaf,,1298634036000,78901.63,54699.55,5108757841166130,4228
11,11,11,11,11,11,11,11,11,Lucretia De Paepe,30,Russell,,214693452000,15662.02,76601.9,5048376778304839,3163
12,12,12,12,12,12,12,12,12,Berrie Georgiades,22,Transport,3078,-602905252000,95180.31,3311.49,5048379883657117,2302
13,13,13,13,13,13,13,13,13,Roby Gypson,8,Hanson,,-623615371000,64290.62,75647.18,5048376250534218,4511
14,14,14,14,14,14,14,14,14,Antonia Reinard,56857,Claremont,141 21,-514251998000,23572.97,18320.21,5108751243375365,3854
15,15,15,15,15,15,15,15,15,Klara Dust,6,Nobel,,373027561000,21918.11,39731.82,5048376134374039,7596
16,16,16,16,16,16,16,16,16,Miles Menauteau,77652,Weeping Birch,,-104895865000,96567.08,19253.82,5108753851305668,5622
17,17,17,17,17,17,17,17,17,Cedric Djekovic,80,Ridgeway,,-141124173000,46455.38,1797.59,5048377175743108,5850
18,18,18,18,18,18,18,18,18,Corrina Lackeye,9507,Memorial,,151815676000,31794.38,57514.39,5048375635732471,4146
19,19,19,19,19,19,19,19,19,Sid Curado,906,Grayhawk,,1183989476000,61498.85,87182.54,5048375492576375,3006
20,20,20,20,20,20,20,20,20,Belia Rolfe,8665,Anhalt,,-8640041000,77596.0,81767.25,5108754016108369,3880
21,21,21,21,21,21,21,21,21,Jemima Roches,86,Esker,,326613286000,77287.97,29710.77,5048371105563165,3847
22,22,22,22,22,22,22,22,22,Lorilyn Kemmons,641,Anhalt,187750,1219577521000,9901.7,66258.67,5048373419490929,3312
23,23,23,23,23,23,23,23,23,Martin Rodgman,57210,Ryan,7644,232521487000,2242.94,26200.11,5048374813724392,2280
24,24,24,24,24,24,24,24,24,Myrle Morison,1199,Northwestern,,1523083709000,26860.01,62003.01,5108750074691056,5746
25,25,25,25,25,25,25,25,25,Myrtie Glashby,5064,Kinsman,,1376255361000,6039.88,39195.69,5108750937302206,7070
26,26,26,26,26,26,26,26,26,Corri Ducrow,3,Prairieview,,723173691000,15387.47,65409.21,5048374594876924,7582
27,27,27,27,27,27,27,27,27,Prisca Dulake,192,Lunder,435 43,1489685902000,44648.44,34431.41,5108757545531266,3936
28,28,28,28,28,28,28,28,28,Carina Bradbeer,4,Swallow,,709812786000,96139.49,45515.53,5048374472567595,4783
29,29,29,29,29,29,29,29,29,Kathe Geely,5794,Village,,1269437365000,67897.14,15467.83,5108756897341373,6549
30,30,30,30,30,30,30,30,30,Robinet Winter,9,West,547018,-40935844000,75033.56,54719.66,5108750145868881,1556
